year,entity,type_of_crime,count
2015,Aguascalientes,Abduction,0
2015,Aguascalientes,Abortion,5
2015,Aguascalientes,Aggravated rape,41
2015,Aguascalientes,Burglary,169
2015,Aguascalientes,Child trafficking,0
2015,Aguascalientes,Corruption of minors,57
2015,Aguascalientes,Counterfeiting,308
2015,Aguascalientes,Crimes committed by public officials,6
2015,Aguascalientes,Dispossession,179
2015,Aguascalientes,Domestic violence,481
2015,Aguascalientes,Drug trafficking (small-scale),614
2015,Aguascalientes,Electoral crimes,1
2015,Aguascalientes,Embezzlement,419
2015,Aguascalientes,Environmental crimes,5
2015,Aguascalientes,Extortion,39
2015,Aguascalientes,Feminicide,0
2015,Aguascalientes,Forgery,100
2015,Aguascalientes,Fraud,1087
2015,Aguascalientes,Gender-based violence in all its forms other than domestic violence,2
2015,Aguascalientes,Homicide,211
2015,Aguascalientes,Human trafficking,2
2015,Aguascalientes,Incest,2
2015,Aguascalientes,Injuries,3428
2015,Aguascalientes,Kidnapping,5
2015,Aguascalientes,Non-compliance with family support obligations,150
2015,Aguascalientes,Other common law crimes,1614
2015,Aguascalientes,Other crimes against heritage or property,1
2015,Aguascalientes,Other crimes against life and bodily integrity,70
2015,Aguascalientes,Other crimes against personal freedom,61
2015,Aguascalientes,Other crimes against sexual freedom and security,252
2015,Aguascalientes,Other crimes against society,0
2015,Aguascalientes,Other crimes against the family,63
2015,Aguascalientes,Prisoner escape,0
2015,Aguascalientes,Property damage,1860
2015,Aguascalientes,Robbery,10719
2015,Aguascalientes,Sexual abuse,18
2015,Aguascalientes,Sexual harassment,11
2015,Aguascalientes,Simple rape,84
2015,Aguascalientes,Threats,1148
2015,Baja California,Abduction,1
2015,Baja California,Abortion,53
2015,Baja California,Aggravated rape,385
2015,Baja California,Burglary,3440
2015,Baja California,Child trafficking,5
2015,Baja California,Corruption of minors,312
2015,Baja California,Counterfeiting,497
2015,Baja California,Crimes committed by public officials,401
2015,Baja California,Dispossession,1196
2015,Baja California,Domestic violence,8892
2015,Baja California,Drug trafficking (small-scale),0
2015,Baja California,Electoral crimes,2
2015,Baja California,Embezzlement,917
